appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
2855180,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-31,"Oct 31, 2025",2025-10-31,exact_match
2855190,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-26,"Aug 26, 2025",2025-08-26,exact_match
2855600,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-20,"Oct 20, 2025",2025-10-20,exact_match
2856530,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-12,"Oct 12, 2025",2025-10-12,exact_match
2857670,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-19,"Nov 19, 2025",2025-11-19,exact_match
2860040,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-04,"Sep 4, 2025",2025-09-04,exact_match
2860460,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-23,"Nov 23, 2025",2025-11-23,exact_match
2860870,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-01,"Dec 1, 2025",2025-12-01,exact_match
2861060,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-23,"Jul 23, 2025",2025-07-23,exact_match
2861390,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-01,"Oct 1, 2025",2025-10-01,exact_match
2861880,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-09,"Aug 9, 2025",2025-08-09,exact_match
2862210,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-11,"Sep 11, 2025",2025-09-11,exact_match
2862460,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-05,"Dec 5, 2025",2025-12-05,exact_match
2862860,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-10,"Dec 10, 2025",2025-12-10,exact_match
2863790,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-23,"Jul 23, 2025",2025-07-23,exact_match
2865190,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-04,"Nov 4, 2025",2025-11-04,exact_match
2865380,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-17,"Dec 17, 2025",2025-12-17,exact_match
2865430,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-25,"Dec 25, 2025",2025-12-25,exact_match
2865670,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-04,"Sep 4, 2025",2025-09-04,exact_match
2866220,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-29,"Aug 29, 2025",2025-08-29,exact_match
2866420,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-05,"Nov 5, 2025",2025-11-05,exact_match
2866750,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-01,"Sep 1, 2025",2025-09-01,exact_match
2867200,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-24,"Jul 24, 2025",2025-07-24,exact_match
2868490,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-10,"Sep 10, 2025",2025-09-10,exact_match
2869750,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-19,"Sep 19, 2025",2025-09-19,exact_match
2870340,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-27,"Oct 27, 2025",2025-10-27,exact_match
2870530,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-07,"Oct 7, 2025",2025-10-07,exact_match
2870920,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-07,"Nov 7, 2025",2025-11-07,exact_match
2871350,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-18,"Sep 18, 2025",2025-09-18,exact_match
2871820,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-15,"Nov 15, 2025",2025-11-15,exact_match
2873810,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-26,"Nov 26, 2025",2025-11-26,exact_match
2873860,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-31,"Jul 31, 2025",2025-07-31,exact_match
2874310,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-16,"Sep 16, 2025",2025-09-16,exact_match
2875000,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-04,"Dec 4, 2025",2025-12-04,exact_match
2875240,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-30,"Nov 30, 2025",2025-11-30,exact_match
2875340,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-18,"Aug 18, 2025",2025-08-18,exact_match
2875820,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-23,"Dec 23, 2025",2025-12-23,exact_match
2876060,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-08,"Aug 8, 2025",2025-08-08,exact_match
2876200,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-14,"Sep 14, 2025",2025-09-14,exact_match
