"appid","review_count","attention_tier","high_attention_100","is_free","current_price_usd","days_since_release","log_days","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","tier_price_spline_1","tier_price_spline_2","tier_price_spline_3"
4048960,2,"Tier1",0,0,5.99,290,5.66988092298052,"Windows only",0,0,0,0,1,0,0,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
4049780,1,"Tier1",0,0,4.99,299,5.70044357339069,"Windows only",1,0,1,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4050410,1,"Tier1",0,0,0.99,325,5.78382518232974,"Windows only",1,0,0,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4050690,1,"Tier1",0,0,9.99,286,5.65599181081985,"Windows only",0,1,0,1,0,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4050900,2,"Tier1",0,0,2.99,312,5.74300318780948,"Windows only",0,0,1,0,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4050920,35,"Tier2",0,0,7.99,304,5.71702770140622,"Windows only",0,1,0,1,0,0,1,0.138467671971053,-0.0461391003521592,0.0300758282519593
4051060,1,"Tier1",0,0,1.99,326,5.78689738136671,"Windows only",1,0,0,0,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4051880,1,"Tier1",0,0,2.99,328,5.79301360838414,"Windows only",0,0,0,0,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4052020,3,"Tier1",0,0,3.99,289,5.66642668811243,"Windows only",0,1,0,1,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4052630,4,"Tier1",0,0,0.99,335,5.81413053182507,"Windows only",1,0,1,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4052780,4,"Tier1",0,0,0.99,338,5.82304589548302,"Windows only",1,1,1,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4053140,3,"Tier1",0,0,4.99,278,5.62762111369064,"Windows only",0,0,1,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4053490,1,"Tier1",0,0,8.99,284,5.64897423816121,"Windows only",1,1,0,1,0,0,0,0.200788076739357,-0.0707802778736949,0.0490770781566566
4055130,4,"Tier1",0,0,2.99,301,5.70711026474888,"Windows only",1,1,1,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4055950,2,"Tier1",0,0,3.99,293,5.68017260901707,"Windows only",0,1,0,1,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4056480,16,"Tier2",0,0,2.99,325,5.78382518232974,"Windows only",1,0,1,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4056580,1,"Tier1",0,0,9.99,324,5.78074351579233,"Windows only",0,0,1,0,0,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4056630,1,"Tier1",0,0,9.99,261,5.56452040732269,"Windows + macOS + Linux",0,0,1,0,0,0,0,0.251218860272004,-0.0918672356966252,0.068024739758569
4056910,22,"Tier2",0,0,5.99,282,5.64190707093811,"Windows only",0,1,0,1,0,1,0,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
4056960,1,"Tier1",0,0,2.99,307,5.7268477475872,"Windows + Linux",0,0,1,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4059360,713,"Tier3",1,0,4.99,304,5.71702770140622,"Windows + macOS + Linux",0,1,0,1,0,1,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4059600,1,"Tier1",0,0,16.99,265,5.57972982598622,"Windows only",0,1,1,1,0,1,0,0.419575949297417,-0.178216261844633,0.188841310784716
4062210,2,"Tier1",0,0,7.99,303,5.71373280550937,"Windows only",0,0,0,0,0,1,0,0.138467671971053,-0.0461391003521592,0.0300758282519593
4062770,4,"Tier1",0,0,1.99,288,5.66296048013595,"Windows only",1,1,0,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4062800,1,"Tier1",0,0,1.99,266,5.5834963087817,"Windows only",0,1,1,1,0,1,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4065010,5,"Tier1",0,0,7.99,332,5.80513496891649,"Windows only",0,0,0,1,0,1,0,0.138467671971053,-0.0461391003521592,0.0300758282519593
4067310,1,"Tier1",0,0,3.49,304,5.71702770140622,"Windows only",0,0,1,0,0,0,0,-0.186116890076566,-0.0173289811302235,0.00882230929863664
4067390,6,"Tier1",0,0,13.99,334,5.8111409929767,"Windows only",1,0,0,0,0,0,0,0.374378963846971,-0.15044831662319,0.139856650607732
4067490,2,"Tier1",0,0,1.99,311,5.73979291217923,"Windows only",0,0,1,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4068510,1,"Tier1",0,0,4.99,307,5.7268477475872,"Windows + Linux",0,1,0,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4068630,1,"Tier1",0,0,4.99,326,5.78689738136671,"Windows + macOS",0,0,1,1,0,1,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4068860,1,"Tier1",0,0,1.2,331,5.80211837537706,"Windows only",0,0,1,1,0,0,0,-0.131194284298963,-0.351000986143154,0.18875695308076
4069860,18,"Tier2",0,0,3.99,276,5.62040086571715,"Windows + macOS + Linux",0,0,1,1,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4072280,4,"Tier1",0,0,0.99,307,5.7268477475872,"Windows only",0,0,1,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4072790,29,"Tier2",0,0,3.99,313,5.74620319054015,"Windows only",0,1,1,0,0,1,1,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4073470,2,"Tier1",0,0,4.99,317,5.75890177387728,"Windows only",0,0,0,0,0,0,1,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4073530,2,"Tier1",0,0,0.99,265,5.57972982598622,"Windows only",1,0,0,0,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4076360,2,"Tier1",0,0,2.99,314,5.74939298590825,"Windows only",0,0,0,1,1,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4076470,18,"Tier2",0,0,4.99,289,5.66642668811243,"Windows only",0,0,0,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4076810,1,"Tier1",0,0,2.99,307,5.7268477475872,"Windows only",1,1,0,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4078030,41,"Tier2",0,0,0.59,316,5.75574221358691,"Windows only",0,1,1,1,1,1,0,-0.0366176773947401,-0.566115850026346,0.304758942530136
4078150,42,"Tier2",0,0,3.99,276,5.62040086571715,"Windows only",0,0,1,1,0,1,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4079330,2,"Tier1",0,0,5.99,280,5.63478960316925,"Windows only",1,1,1,1,0,0,0,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
4080150,1,"Tier1",0,0,4.99,289,5.66642668811243,"Windows only",1,0,0,0,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4080230,1,"Tier1",0,0,14.99,313,5.74620319054015,"Windows only",0,0,0,1,0,1,1,0.392571032510476,-0.160815293725573,0.156651314964725
4083540,1,"Tier1",0,0,0.99,319,5.76519110278484,"Windows only",0,0,1,1,0,1,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4084730,1,"Tier1",0,0,1.99,277,5.62401750618734,"Windows only",0,1,0,0,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4085510,5,"Tier1",0,0,0.99,313,5.74620319054015,"Windows only",1,1,1,1,0,0,1,-0.10419428022306,-0.415443396766967,0.223507912183871
4086240,3,"Tier1",0,0,12.99,282,5.64190707093811,"Windows + Linux",1,1,0,1,0,0,0,0.352184179054766,-0.138692384061404,0.122585476016817
4086260,2,"Tier1",0,0,2.99,314,5.74939298590825,"Windows + Linux",0,0,1,1,0,0,1,-0.200102891281294,-0.0515775081764219,0.0272910343386091
