appid,genre_id,genre_name
2583940,28,Simulation
2583940,29,Massively Multiplayer
2583940,3,RPG
2588400,1,Action
2588400,23,Indie
2588400,25,Adventure
2588400,70,Early Access
2597810,1,Action
2597810,23,Indie
2597810,25,Adventure
2597810,3,RPG
2597810,70,Early Access
2602230,1,Action
2602230,23,Indie
2602230,25,Adventure
2602230,4,Casual
2604780,23,Indie
2604780,28,Simulation
2604780,3,RPG
2604780,4,Casual
2607180,1,Action
2607180,23,Indie
2607180,28,Simulation
2610880,23,Indie
2610880,25,Adventure
2610880,3,RPG
2615540,1,Action
2615540,18,Sports
2615540,23,Indie
2615540,25,Adventure
2615540,28,Simulation
2615540,3,RPG
2615540,70,Early Access
2617360,2,Strategy
2617360,23,Indie
2617360,4,Casual
2621760,1,Action
2621760,23,Indie
2621760,4,Casual
2622330,25,Adventure
2632690,23,Indie
2635670,3,RPG
2642760,4,Casual
2643010,2,Strategy
2643010,23,Indie
2643010,28,Simulation
2643880,23,Indie
2643880,28,Simulation
2643880,4,Casual
2643880,70,Early Access
2644020,1,Action
2644020,2,Strategy
2644020,25,Adventure
2644020,3,RPG
2644280,23,Indie
2644280,4,Casual
2644280,70,Early Access
2651090,1,Action
2651090,23,Indie
2651090,25,Adventure
2651090,4,Casual
2653120,1,Action
2653120,23,Indie
2653120,25,Adventure
2653120,3,RPG
2653470,23,Indie
2653470,4,Casual
2653490,1,Action
2653490,18,Sports
2653490,2,Strategy
2653490,23,Indie
2653490,25,Adventure
2653490,28,Simulation
2653490,3,RPG
2653490,4,Casual
2653490,9,Racing
2656440,23,Indie
2656440,25,Adventure
2659470,1,Action
2659470,25,Adventure
2659530,1,Action
2659530,2,Strategy
2659530,23,Indie
2659530,70,Early Access
2659840,1,Action
2659840,23,Indie
2659840,25,Adventure
2659840,28,Simulation
2659840,4,Casual
2673560,1,Action
2673560,23,Indie
2673560,25,Adventure
2673790,1,Action
2673790,4,Casual
2673790,9,Racing
2676040,23,Indie
2676040,25,Adventure
2676040,3,RPG
2676040,70,Early Access
2676220,1,Action
2676220,23,Indie
2676220,25,Adventure
2676220,4,Casual
2679310,2,Strategy
2679310,23,Indie
2679310,25,Adventure
2685840,1,Action
2685840,23,Indie
2685840,4,Casual
2687280,1,Action
2687280,23,Indie
2687280,25,Adventure
2687280,4,Casual
2687400,1,Action
2687400,23,Indie
2689930,25,Adventure
2691210,2,Strategy
2691210,23,Indie
2691210,4,Casual
2691210,70,Early Access
2691340,1,Action
2691340,2,Strategy
2691340,23,Indie
2691340,25,Adventure
2692990,28,Simulation
2692990,4,Casual
2695430,25,Adventure
2699550,1,Action
2699550,2,Strategy
2699550,3,RPG
2699550,37,Free To Play
2701070,23,Indie
2701070,25,Adventure
2701070,3,RPG
2701070,4,Casual
2701720,23,Indie
2701720,28,Simulation
2701720,3,RPG
2701720,4,Casual
2701800,1,Action
2701800,23,Indie
2701800,25,Adventure
2701800,28,Simulation
2705860,25,Adventure
2705860,70,Early Access
2707080,23,Indie
2707080,25,Adventure
2707080,4,Casual
2714970,1,Action
2714970,2,Strategy
2714970,23,Indie
2714970,25,Adventure
2714970,3,RPG
2714970,4,Casual
2715940,1,Action
2715940,18,Sports
2715940,23,Indie
2715940,28,Simulation
2715940,4,Casual
2715940,9,Racing
2717150,1,Action
2717150,23,Indie
2717150,3,RPG
2719740,1,Action
2719740,23,Indie
2719740,25,Adventure
2719740,28,Simulation
2719740,4,Casual
2722610,1,Action
2722610,23,Indie
2722610,25,Adventure
2722610,28,Simulation
2722610,3,RPG
2722680,23,Indie
2725250,1,Action
2725250,18,Sports
2725250,23,Indie
2725250,25,Adventure
2725250,28,Simulation
2725250,3,RPG
2725250,4,Casual
2725250,70,Early Access
2726960,23,Indie
2726960,3,RPG
2727660,25,Adventure
2727660,4,Casual
2730810,18,Sports
2730970,1,Action
2730970,2,Strategy
2730970,25,Adventure
2730970,28,Simulation
2730970,3,RPG
2731330,1,Action
2731330,23,Indie
2731330,28,Simulation
2731330,4,Casual
2738630,1,Action
2738630,25,Adventure
2738630,3,RPG
2739150,1,Action
2739150,23,Indie
2739150,25,Adventure
2739150,28,Simulation
2740170,18,Sports
2740170,2,Strategy
2740170,23,Indie
2740170,28,Simulation
2740170,3,RPG
2740170,70,Early Access
2740170,9,Racing
2746540,1,Action
2746540,2,Strategy
2746540,23,Indie
2746540,25,Adventure
2746540,28,Simulation
2746540,29,Massively Multiplayer
2746540,3,RPG
2746540,4,Casual
2747330,1,Action
2747330,23,Indie
2747330,70,Early Access
2749000,2,Strategy
2749000,28,Simulation
2749000,4,Casual
2749260,1,Action
2749260,23,Indie
2749690,2,Strategy
2749690,23,Indie
2749690,25,Adventure
2749690,3,RPG
2749690,4,Casual
2749690,70,Early Access
2750780,23,Indie
2750780,25,Adventure
2750780,3,RPG
2751920,1,Action
2751920,3,RPG
2760580,1,Action
2760580,2,Strategy
2760580,25,Adventure
2760580,28,Simulation
2760580,70,Early Access
2764590,1,Action
2764590,23,Indie
2764590,70,Early Access
2767430,2,Strategy
2767430,3,RPG
2771910,1,Action
2771910,2,Strategy
2771910,29,Massively Multiplayer
2771910,37,Free To Play
2774180,23,Indie
2774180,4,Casual
2776450,2,Strategy
2776450,23,Indie
2776450,25,Adventure
2776450,28,Simulation
2776450,3,RPG
2776450,4,Casual
2779730,1,Action
2779730,23,Indie
2779730,25,Adventure
2779730,4,Casual
2780980,1,Action
2780980,2,Strategy
2780980,23,Indie
2780980,4,Casual
2780990,23,Indie
2780990,25,Adventure
2780990,3,RPG
2782500,1,Action
2782500,29,Massively Multiplayer
