"model","population","term","estimate_log_odds","std_error","statistic","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper"
"Beta-binomial","minus_top1","genre_strategy",-0.191171393284009,0.0746769282762424,-2.55997933627952,0.0104678387189779,-0.337535483181524,-0.0448073033864928,0.825991006707285,0.713526656061453,0.956181717060553
"Quasibinomial","minus_top1pct","(Intercept)",1.64595444687085,0.08532441284906,19.2905452485511,1.41277874221347e-68,1.47847264262968,1.81343625111202,5.18595726626228,4.38624120432482,6.13148058090853
"Quasibinomial","minus_top1pct","z_log1p_price",0.00145213249138197,0.0369773113511118,0.039270905274683,0.968684032228836,-0.0711299880797527,0.0740342530625166,1.0014531873463,0.93134082105394,1.07684369005875
"Quasibinomial","minus_top1pct","z_days_since_release",0.136687802979348,0.0331920608538451,4.11808726132513,4.21037692230479e-05,0.0715356846973415,0.201839921261355,1.14647016807235,1.07415648096633,1.22365211174577
"Quasibinomial","minus_top1pct","platform_segmentWindows + macOS",0.510262022342306,0.137636363199324,3.70731985705948,0.000223655396163071,0.240098001658161,0.780426043026451,1.66572759561627,1.27137374095102,2.18240186455485
"Quasibinomial","minus_top1pct","platform_segmentWindows + Linux",0.62342053832517,0.296847970304831,2.10013407767277,0.0360242312181141,0.0407428263796799,1.20609825027066,1.86529746367271,1.04158420311785,3.34042568768699
"Quasibinomial","minus_top1pct","platform_segmentWindows + macOS + Linux",0.519345502011647,0.154305265351725,3.36570175248295,0.000799260317220711,0.216462383545462,0.822228620477832,1.68092712617031,1.24167637701235,2.27556556265794
"Quasibinomial","minus_top1pct","genre_action",-0.336032425148261,0.071065808514795,-4.72846833338009,2.6656220864765e-06,-0.475526263224483,-0.19653858707204,0.71459993443157,0.621557867331303,0.821569628717154
"Quasibinomial","minus_top1pct","genre_adventure",0.185829617651571,0.0676234259414787,2.74800655341519,0.00612853706937249,0.0530927723868588,0.318566462916282,1.20421706556569,1.05452747161204,1.3751550149593
"Quasibinomial","minus_top1pct","genre_casual",0.177163420164521,0.0775009111774423,2.28595273878647,0.0225131895994221,0.0250382311251952,0.329288609203848,1.19382617245627,1.02535432022449,1.3899789584244
"Quasibinomial","minus_top1pct","genre_indie",0.229705374369058,0.0781046153564585,2.94099616675295,0.00336430984790947,0.0763951849089447,0.383015563829172,1.25822924872801,1.0793890481464,1.46670085737235
"Quasibinomial","minus_top1pct","genre_rpg",-0.299492923425957,0.0685523120097182,-4.36882308773919,1.4106166742858e-05,-0.434053062979473,-0.164932783872442,0.741193967505204,0.647877876242778,0.847950698134724
"Quasibinomial","minus_top1pct","genre_simulation",-0.0306604490958136,0.0680819469126513,-0.450346244286326,0.652580716217779,-0.164297317190688,0.102976418999061,0.969804815277531,0.848489713796266,1.10846527004724
"Quasibinomial","minus_top1pct","genre_strategy",0.142987740881868,0.0672549363057275,2.12605570291338,0.0337990100597324,0.0109741975067215,0.275001284257014,1.15371565804277,1.01103463489379,1.31653236563246
"Beta-binomial","minus_top1pct","(Intercept)",1.65308304717746,0.0799045289499541,20.6882271743673,4.42173842985972e-95,1.49647304823391,1.80969304612101,5.22305796373043,4.46591021115063,6.10857209452473
"Beta-binomial","minus_top1pct","z_log1p_price",-0.0803600138389407,0.0322789051382879,-2.48955203079738,0.0127904195407784,-0.14362550537037,-0.0170945223075116,0.922784071542344,0.866212079097041,0.983050760017016
"Beta-binomial","minus_top1pct","z_days_since_release",-0.0267814434868231,0.0307909267913019,-0.869783610878143,0.384418669583251,-0.0871305510483843,0.033567664074738,0.973573999212288,0.916557430288676,1.03413741531033
"Beta-binomial","minus_top1pct","platform_segmentWindows + macOS",0.369516466266788,0.110567204185654,3.34200786741729,0.000831747031933837,0.152808728191621,0.586224204341956,1.44703475535682,1.16510210644196,1.79718976700253
"Beta-binomial","minus_top1pct","platform_segmentWindows + Linux",0.492946962742202,0.168694051799433,2.92213600588767,0.00347639699143638,0.16231269680918,0.823581228675225,1.63713369000498,1.17622798655989,2.27864559385983
"Beta-binomial","minus_top1pct","platform_segmentWindows + macOS + Linux",0.424553539675938,0.112960665214725,3.75841925920773,0.000170990196501277,0.203154704185391,0.645952375166485,1.52890767065045,1.22526200674657,1.90780310864342
"Beta-binomial","minus_top1pct","genre_action",-0.135748186930111,0.0660989206071284,-2.05371261260008,0.0400035150970843,-0.265299690737055,-0.00619668312316662,0.873062453347258,0.766976059908917,0.993822476721441
"Beta-binomial","minus_top1pct","genre_adventure",-0.0136123861923732,0.0629520674458005,-0.216234140429033,0.82880524277647,-0.136996171138478,0.109771398753732,0.986479843374106,0.871973564791748,1.11602291706609
"Beta-binomial","minus_top1pct","genre_casual",0.100214790126081,0.0674227867567648,1.48636380883538,0.137182917196399,-0.0319314436545023,0.232361023906664,1.10540832337173,0.968572981627085,1.26157510539557
"Beta-binomial","minus_top1pct","genre_indie",0.142037776860372,0.0696700477104747,2.03872082089901,0.0414778985401335,0.00548699254665463,0.27858856117409,1.15262019008655,1.00550207366096,1.32126361287159
"Beta-binomial","minus_top1pct","genre_rpg",-0.0923723734069924,0.0695155295634225,-1.32880198118489,0.183913308398901,-0.22862030771753,0.0438755609035451,0.911765569072312,0.795630570948309,1.04485232631888
"Beta-binomial","minus_top1pct","genre_simulation",-0.267581059969577,0.0658342635950401,-4.064464996761,4.81427628506154e-05,-0.396613845564572,-0.138548274374583,0.765228298726093,0.672593700532825,0.870621221559676
"Beta-binomial","minus_top1pct","genre_strategy",-0.18123869377599,0.0749081630009307,-2.41947855234066,0.0155427772802163,-0.32805599540587,-0.0344213921461099,0.834236207938172,0.720322683814962,0.966164284802445
"Quasibinomial","minus_top5pct","(Intercept)",1.61354876877493,0.0795002875056337,20.2961375285666,7.03002437534279e-74,1.4574892197342,1.76960831781566,5.02059658750492,4.29516177120629,5.86855430299355
"Quasibinomial","minus_top5pct","z_log1p_price",-0.135037084228983,0.03528886465511,-3.82662025397376,0.000140295565483956,-0.204309340682716,-0.0657648277752488,0.873683511207877,0.81521015451311,0.936351042158477
"Quasibinomial","minus_top5pct","z_days_since_release",-0.018669566233603,0.032099326213204,-0.581618633039197,0.560991417369103,-0.0816807392811083,0.0443416068139023,0.981503630606641,0.921566131600605,1.04533938896045
"Quasibinomial","minus_top5pct","platform_segmentWindows + macOS",0.486451920687985,0.115686864137577,4.20490195074773,2.91438886737764e-05,0.259357901110168,0.713545940265803,1.62653489490961,1.29609759659601,2.04121647266911
"Quasibinomial","minus_top5pct","platform_segmentWindows + Linux",0.822153254041525,0.217586632348373,3.7785099441458,0.000169771805369389,0.395029368242093,1.24927713984096,2.27539406785345,1.48442778531533,3.48782083927569
"Quasibinomial","minus_top5pct","platform_segmentWindows + macOS + Linux",0.389465235329966,0.128610927487681,3.02824373432242,0.00254075325725098,0.137001200605371,0.64192927005456,1.47619116788662,1.14682952540926,1.90014323477484
"Quasibinomial","minus_top5pct","genre_action",-0.327150490561231,0.0690400827756902,-4.73855878220969,2.55716334086696e-06,-0.462676593947277,-0.191624387175185,0.720975234894354,0.629596214813156,0.825616922562393
"Quasibinomial","minus_top5pct","genre_adventure",0.0827065010249187,0.0652298139509803,1.26792483398883,0.205202651878679,-0.0453400214292213,0.210753023479059,1.08622295643472,0.955672477460352,1.2346073983644
